property_scope,availability,location,bedrooms,total_sqft,bathrooms,balconies,buying_status,BER,renovation_needed,price_per_sqft,sqft_per_room,log_total_sqft,log_price_per_sqft
Extended Coverage,291,Fingal,3,1482.0,2,1,0,1,0,666.3,296.4,7.301822342137932,6.503239719909561
Extended Coverage,0,Fingal,2,800.0,2,3,0,7,2,709.38,200.0,6.68586094706836,6.5658000381285
Extended Coverage,0,Fingal,2,1185.0,2,2,0,3,1,453.9,296.25,7.078341579557671,6.120077614575958
Extended Coverage,0,DCC,2,1100.0,2,2,1,3,1,737.75,275.0,7.00397413672268,6.604959568720308
Constructed Space,0,South Dublin,2,1300.0,2,0,1,5,2,1047.69,325.0,7.170888478512505,6.955297045179371
Extended Coverage,0,DCC,3,1758.0,3,2,1,7,2,419.65,293.0,7.472500744737558,6.041801133996823
Extended Coverage,0,South Dublin,2,1145.0,2,2,0,3,1,545.2,286.25,7.044032897274685,6.302985209039605
Constructed Space,0,DCC,2,1180.0,2,2,0,5,2,480.93,295.0,7.074116816197362,6.177798875288194
Extended Coverage,0,Fingal,2,1260.0,2,2,1,5,2,522.46,315.0,7.13966033596492,6.260460618604281
Constructed Space,0,South Dublin,2,1190.0,2,2,0,7,2,524.58,297.5,7.0825485693553,6.264502414696034
Extended Coverage,0,Dun Laoghaire,3,1691.0,3,2,0,5,2,798.73,281.8333333333333,7.433666540166168,6.684274170701984
Constructed Space,0,Fingal,3,1305.0,3,1,1,3,1,830.16,217.5,7.174724309836376,6.72282231543168
Extended Coverage,0,South Dublin,2,1140.0,2,1,1,1,0,504.38,285.0,7.039660349862076,6.2253106215553276
Extended Coverage,0,Fingal,2,1250.0,2,2,0,5,2,590.2,312.5,7.1316985104669115,6.382154369633992
Land Parcel,0,Fingal,3,600.0,2,1,0,2,1,1135.0,120.0,6.398594934535208,7.035268599281097
Extended Coverage,230,Fingal,2,1225.0,2,2,0,2,1,444.73,306.25,7.111512116496157,6.099713387536979
Constructed Space,0,South Dublin,2,800.0,2,2,0,7,2,397.25,200.0,6.68586094706836,5.987079948790158
Extended Coverage,0,South Dublin,2,1020.0,2,1,0,7,2,645.39,255.0,6.928537818164665,6.47140303679019
Constructed Space,0,DCC,4,2100.0,2,1,0,7,2,270.24,350.0,7.650168700845001,5.603004037815642
Land Parcel,0,Fingal,2,1350.0,2,1,0,2,1,672.59,337.5,7.208600337960199,6.512621617212219
Extended Coverage,0,Fingal,2,925.0,2,1,0,5,2,490.81,231.25,6.8308742346461795,6.19809246304426
Constructed Space,0,Other,3,2000.0,3,1,0,5,2,567.5,333.3333333333333,7.601402334583733,6.343001313190591
Constructed Space,0,Fingal,3,1510.0,2,1,1,5,2,563.74,302.0,7.32052696227274,6.336365448241365
Extended Coverage,0,Fingal,3,1614.0,3,1,0,3,1,773.54,269.0,7.387090235656757,6.652269304746673
Land Parcel,0,DCC,2,1200.0,2,0,0,3,1,898.54,300.0,7.0909098220799835,6.8018835215513915
Land Parcel,0,DCC,2,900.0,2,0,1,7,2,693.61,225.0,6.803505257608338,6.543350536981463
Constructed Space,0,South Dublin,4,1632.0,3,0,0,5,2,1008.43,233.14285714285714,7.398174092970465,6.917141094090628
Extended Coverage,0,South Dublin,2,1041.0,2,2,1,6,2,714.15,260.25,6.948897222313312,6.572492310900909
Extended Coverage,0,Fingal,3,1530.0,3,2,0,3,1,552.66,255.0,7.333676395657684,6.3165507799334994
Extended Coverage,0,South Dublin,3,1450.0,2,2,0,5,2,1056.72,290.0,7.280008252884188,6.9638709271086245
Extended Coverage,0,Fingal,2,1200.0,2,2,0,5,2,709.38,300.0,7.0909098220799835,6.5658000381285
Extended Coverage,0,DCC,3,1508.0,2,1,0,3,1,827.92,301.6,7.319202458767849,6.720123648669287
Extended Coverage,0,Fingal,2,1188.0,2,3,0,6,2,697.43,297.0,7.080867896690782,6.548834958929299
Extended Coverage,0,DCC,2,1174.0,2,1,1,7,2,734.75,293.5,7.069023426578259,6.600890387113582
Extended Coverage,353,DCC,3,1350.0,3,1,0,1,0,495.95,225.0,7.208600337960199,6.208489417414015
Extended Coverage,0,Fingal,3,1870.0,3,3,0,7,2,1122.86,311.6666666666667,7.534228326274089,7.024524467535856
Extended Coverage,169,Fingal,2,1072.0,2,1,0,3,1,264.69,268.0,6.9782137426306985,5.582330215625433
Extended Coverage,322,DCC,2,726.0,2,1,0,4,2,484.64,181.5,6.588926477533519,6.185467608675775
Extended Coverage,0,DCC,2,1345.0,2,2,0,7,2,894.5,336.25,7.204892510204673,6.797382221500767
Extended Coverage,0,DCC,2,1200.0,2,2,1,3,1,425.62,300.0,7.0909098220799835,6.055893687263672
Constructed Space,0,South Dublin,2,980.0,2,0,1,6,2,428.52,245.0,6.8885724595653635,6.062668306114314
Extended Coverage,0,DCC,2,1050.0,2,1,0,2,1,832.33,262.5,6.957497370876951,6.725429722180182
Extended Coverage,0,Dun Laoghaire,2,993.0,2,1,0,5,2,453.89,248.25,6.901737206656574,6.120055631480957
Extended Coverage,0,Fingal,3,1300.0,2,2,1,2,1,454.0,260.0,7.170888478512505,6.12029741895095
Extended Coverage,0,DCC,3,1743.0,3,2,1,1,0,553.5,290.5,7.463936604468925,6.318066806790422
Land Parcel,0,DCC,2,1200.0,2,0,0,1,0,633.71,300.0,7.0909098220799835,6.453168201663336
Extended Coverage,0,Fingal,3,1480.0,3,2,0,3,1,690.2,246.66666666666666,7.300472814267799,6.5384292174898455
Extended Coverage,0,DCC,2,950.0,2,2,1,6,2,388.29,237.5,6.85751406254539,5.964324567155742
Constructed Space,0,South Dublin,1,640.0,1,0,1,6,2,975.39,320.0,6.46302945692067,6.8838620967621384
Extended Coverage,199,Fingal,2,972.0,2,1,0,3,1,513.79,243.0,6.880384082186005,6.243759050513878
Extended Coverage,0,Fingal,3,1840.0,3,3,0,3,1,604.51,306.6666666666667,7.518064181233078,6.406071078133402
Extended Coverage,0,Dun Laoghaire,2,1128.0,2,1,0,5,2,643.97,282.0,7.029087564149662,6.469203804086166
Land Parcel,0,Fingal,2,680.0,2,0,0,6,2,701.03,170.0,6.523562306149512,6.55397613815543
Land Parcel,0,Fingal,2,2400.0,2,1,0,7,2,449.27,600.0,7.783640596221253,6.109847402836333
Constructed Space,0,South Dublin,2,1045.0,2,2,0,3,1,456.17,261.25,6.952728644624869,6.125055312969879
Constructed Space,0,Fingal,2,955.0,2,3,0,5,2,636.43,238.75,6.862757913051401,6.45744446708212
Extended Coverage,0,South Dublin,3,1360.0,2,2,0,3,1,453.92,272.0,7.215975002651466,6.120121579316244
Extended Coverage,0,South Dublin,2,1150.0,2,2,1,7,2,621.78,287.5,7.048386408721883,6.434193326406315
Extended Coverage,291,Fingal,2,1115.0,2,2,1,5,2,578.9,278.75,7.017506142941256,6.362855674882395
Extended Coverage,0,DCC,2,920.0,2,2,1,1,0,567.5,230.0,6.825460036255307,6.343001313190591
Extended Coverage,169,South Dublin,2,1030.0,2,1,1,4,2,451.8,257.5,6.93828448401696,6.115450526888973
Extended Coverage,0,Dun Laoghaire,3,1564.0,3,1,1,6,2,732.96,260.6666666666667,7.355641102974253,6.598454531216753
Extended Coverage,0,Dun Laoghaire,2,1045.0,2,1,0,4,2,488.76,261.25,6.952728644624869,6.193915475197103
Land Parcel,0,DCC,4,1200.0,4,1,1,1,0,785.04,150.0,7.0909098220799835,6.667007681719566
Constructed Space,0,Fingal,2,1277.0,2,2,1,6,2,488.84,319.25,7.15305163493748,6.194078807169699
Extended Coverage,0,Dun Laoghaire,3,1846.0,3,2,1,1,0,860.78,307.6666666666667,7.52131798019924,6.759000017671786
Constructed Space,0,Fingal,2,1100.0,2,0,0,3,1,1093.73,275.0,7.00397413672268,6.998263036503437
Extended Coverage,0,Fingal,3,1690.0,3,1,0,6,2,503.7,281.6666666666667,7.43307534889858,6.223964193346217
Land Parcel,198,DCC,2,1200.0,3,0,0,2,1,662.08,240.0,7.0909098220799835,6.496895646556665
Constructed Space,78,Other,2,1068.0,2,1,1,5,2,425.62,267.0,6.974478911025045,6.055893687263672
Extended Coverage,0,Dun Laoghaire,2,1135.0,2,2,0,4,2,580.0,283.75,7.035268599281097,6.364750756851911
Extended Coverage,0,Other,3,1925.0,3,2,1,1,0,707.53,320.8333333333333,7.563200592358071,6.56319240121242
Extended Coverage,0,DCC,3,1615.0,3,2,0,7,2,421.67,269.1666666666667,7.38770923908104,6.046591732733295
Extended Coverage,0,Fingal,1,650.0,1,1,1,1,0,454.0,325.0,6.478509642208569,6.12029741895095
Extended Coverage,0,DCC,2,1150.0,2,3,1,6,2,414.52,287.5,7.048386408721883,6.029530747914438
Extended Coverage,77,Other,3,1410.0,2,2,0,2,1,363.2,282.0,7.252053951852814,5.897703167293508
Extended Coverage,0,Fingal,3,1354.0,3,1,0,6,2,754.43,225.66666666666666,7.2115567333138015,6.627287123548551
Constructed Space,0,South Dublin,1,600.0,1,1,0,4,2,529.67,300.0,6.398594934535208,6.274140359123526
Land Parcel,0,DCC,4,1320.0,2,1,0,4,2,945.83,220.0,7.186144304522325,6.853119562815922
Extended Coverage,138,DCC,3,1600.0,3,2,0,5,2,624.25,266.6666666666667,7.3783837129967145,6.4381515697577285
Extended Coverage,0,South Dublin,2,1000.0,2,1,1,7,2,408.6,250.0,6.90875477931522,6.015181073725298
Extended Coverage,0,Fingal,3,1130.0,3,1,0,4,2,381.68,188.33333333333334,7.030857476116121,5.947199130809967
Extended Coverage,0,DCC,2,1238.0,2,1,0,7,2,614.26,309.5,7.122059881629142,6.4220449426945425
Extended Coverage,108,Fingal,3,1364.0,2,3,1,2,1,385.93,272.8,7.21890970761906,5.958243798116312
Constructed Space,0,Fingal,2,900.0,2,1,0,2,1,567.5,225.0,6.803505257608338,6.343001313190591
Extended Coverage,0,South Dublin,3,1745.0,3,2,0,7,2,676.45,290.8333333333333,7.465082736399547,6.51833574929244
Extended Coverage,0,South Dublin,2,1200.0,2,1,0,2,1,504.41,300.0,7.0909098220799835,6.225369981066223
Extended Coverage,0,Fingal,2,1020.0,2,1,1,3,1,476.59,255.0,6.928537818164665,6.168752623835738
Extended Coverage,352,South Dublin,3,1650.0,3,2,0,6,2,811.7,275.0,7.409136443920128,6.7003620377591595
Extended Coverage,0,Fingal,3,1550.0,2,3,0,1,0,512.58,310.0,7.346655163176539,6.24140581080757
Extended Coverage,0,Fingal,2,1440.0,2,2,0,6,2,472.92,360.0,7.273092595999522,6.161038531079434
Extended Coverage,0,South Dublin,3,1329.0,2,2,1,1,0,392.42,265.8,7.1929342212158,5.974877743503583
Extended Coverage,0,Other,2,916.0,2,1,1,4,2,520.41,229.0,6.821107472256465,6.256536680448587
Extended Coverage,0,DCC,1,688.0,1,2,1,3,1,824.85,344.0,6.535241271013659,6.716413158967099
Extended Coverage,0,Other,3,1358.0,3,3,1,3,1,417.89,226.33333333333334,7.214504414151143,6.037608355622213
Extended Coverage,200,Dun Laoghaire,2,1331.0,2,1,1,1,0,912.43,332.75,7.194436851100335,6.817206744529469
Extended Coverage,0,DCC,1,686.0,1,1,0,7,2,1034.07,343.0,6.532334292222349,6.942224336262713
Extended Coverage,0,DCC,2,1050.0,2,2,1,5,2,540.48,262.5,6.957497370876951,6.294306131317586
Extended Coverage,0,Fingal,3,2106.0,3,2,0,5,2,679.06,351.0,7.653020413804189,6.522181029571765
Extended Coverage,199,DCC,3,1718.0,3,2,0,1,0,595.91,286.3333333333333,7.449498005382849,6.391766348259266
Extended Coverage,0,Fingal,3,1530.0,3,2,0,1,0,422.84,255.0,7.333676395657684,6.0493560255237595
Extended Coverage,0,South Dublin,2,1206.0,2,2,0,3,1,527.03,301.5,7.095893221097532,6.2691531002739875
Constructed Space,0,Dun Laoghaire,2,1075.0,2,3,1,5,2,549.02,268.75,6.98100574072173,6.309954641201739
Land Parcel,352,Dun Laoghaire,3,1200.0,3,1,1,6,2,898.54,200.0,7.0909098220799835,6.8018835215513915
Extended Coverage,352,Fingal,3,1936.0,2,2,0,7,2,317.81,387.2,7.5688956634069955,5.7645953140527135
Extended Coverage,0,South Dublin,4,2172.65,3,3,1,3,1,626.88,310.37857142857143,7.684163061160043,6.442349065407006
Extended Coverage,0,Fingal,3,1100.0,2,2,0,2,1,773.86,220.0,7.00397413672268,6.652682367873754
Land Parcel,0,South Dublin,3,800.0,2,1,1,3,1,1135.0,160.0,6.68586094706836,7.035268599281097
Extended Coverage,0,Dun Laoghaire,2,1117.0,2,3,1,5,2,304.73,279.25,7.0192966537150445,5.722702359508712
Constructed Space,0,Fingal,3,1685.0,2,1,0,3,1,740.95,337.0,7.430114138561801,6.609281855452135
Extended Coverage,0,Fingal,2,740.0,2,1,0,1,0,567.5,185.0,6.608000625296087,6.343001313190591
Land Parcel,0,South Dublin,4,1500.0,2,2,0,2,1,703.7,250.0,7.313886831633462,6.557772180332977
Extended Coverage,0,DCC,3,1800.0,3,2,1,7,2,725.14,300.0,7.496097345175956,6.587742833699607
Extended Coverage,0,South Dublin,3,1700.0,3,2,0,5,2,867.94,283.3333333333333,7.438971592395862,6.767274078002513
Constructed Space,0,Dun Laoghaire,2,850.0,2,2,1,2,1,506.48,212.5,6.7464121285733745,6.229457301272397
Extended Coverage,0,Fingal,3,1891.0,3,1,0,5,2,834.29,315.1666666666667,7.545389749611823,6.727778969943521
Constructed Space,0,DCC,2,1400.0,1,1,0,4,2,648.57,466.6666666666667,7.244941546337007,6.476310605515025
Extended Coverage,0,Fingal,2,1172.0,2,2,1,7,2,794.11,293.0,7.067319848653476,6.6784804698626825
Extended Coverage,138,Fingal,3,1400.0,2,2,0,2,1,327.77,280.0,7.244941546337007,5.795358418143411
Constructed Space,0,South Dublin,2,896.0,2,1,1,4,2,554.2,224.0,6.799055862058796,6.319328409192595
Extended Coverage,171,Fingal,2,1180.0,2,2,1,5,2,625.21,295.0,7.074116816197362,6.439685778103666
Constructed Space,0,Other,2,850.0,2,1,0,2,1,440.65,212.5,6.7464121285733745,6.090517713191141
Extended Coverage,292,Fingal,1,530.0,1,1,0,2,1,385.47,265.0,6.274762021241939,5.957054245351267
Extended Coverage,199,Fingal,3,1550.0,3,3,0,6,2,805.48,258.3333333333333,7.346655163176539,6.692679098745686
Extended Coverage,353,Fingal,3,1699.0,3,3,0,7,2,648.0,283.1666666666667,7.438383530044307,6.47543271670409
Extended Coverage,290,DCC,4,2025.0,4,3,1,3,1,610.94,253.125,7.613818684808629,6.416634238490482
Extended Coverage,169,Fingal,1,500.0,2,2,0,1,0,317.8,166.66666666666666,6.2166061010848646,5.76456394691606
Constructed Space,0,Fingal,1,500.0,1,0,0,1,0,454.0,250.0,6.2166061010848646,6.12029741895095
Constructed Space,0,Fingal,2,1146.0,2,1,0,6,2,381.3,286.5,7.044905117129371,5.946205640702368
Extended Coverage,0,Fingal,2,1455.0,2,1,0,3,1,1131.1,363.75,7.283448228756631,7.031829594084064
Land Parcel,0,South Dublin,2,800.0,1,0,0,7,2,709.38,266.6666666666667,6.68586094706836,6.5658000381285
Extended Coverage,0,South Dublin,1,765.0,2,2,1,1,0,445.1,255.0,6.641182169740591,6.100543142134219
Extended Coverage,0,South Dublin,3,1521.0,3,1,0,5,2,708.83,253.5,7.3277805384216315,6.565025504746119
Extended Coverage,0,DCC,3,1600.0,2,2,0,2,1,390.16,320.0,7.3783837129967145,5.969116683444074
Extended Coverage,0,Fingal,3,1765.0,3,3,0,3,1,675.21,294.1666666666667,7.476472381163905,6.516503678688542
Extended Coverage,0,DCC,3,1980.0,3,2,0,3,1,504.44,330.0,7.591357046698551,6.225429337053775
Constructed Space,0,South Dublin,3,1900.0,3,1,1,1,0,806.45,316.6666666666667,7.550135342488429,6.693881133675076
Extended Coverage,0,Fingal,2,1265.0,2,3,0,6,2,628.06,316.25,7.143617602704121,6.444226641658305
Extended Coverage,0,Fingal,2,1034.0,2,3,0,1,0,439.07,258.5,6.942156705699469,6.0869338051677815
Constructed Space,0,Fingal,2,1012.0,2,1,0,5,2,661.71,253.0,6.920671504248683,6.4963374887645475
Extended Coverage,0,Dun Laoghaire,2,1070.0,2,1,0,6,2,572.8,267.5,6.976348070447749,6.352280903547264
Extended Coverage,0,South Dublin,3,1270.0,2,2,0,2,1,625.59,254.0,7.147559271189454,6.440292419246153
Extended Coverage,0,Fingal,3,2045.0,4,3,1,1,0,854.72,292.14285714285717,7.6236419465115715,6.751943219828212
Extended Coverage,0,DCC,3,1490.0,2,2,0,7,2,746.51,298.0,7.307202314764738,6.616747683101779
Extended Coverage,0,DCC,2,883.0,2,1,0,2,1,514.16,220.75,6.784457062637643,6.24447753202447
Extended Coverage,0,DCC,1,671.0,1,1,0,3,1,623.32,335.5,6.51025834052315,6.436663057434746
Extended Coverage,0,South Dublin,2,1156.0,2,2,1,3,1,314.19,289.0,7.053585727193677,5.753175631592122
Extended Coverage,0,Fingal,3,2017.0,3,2,0,5,2,703.4,336.1666666666667,7.609862200913554,6.557346376622051
Extended Coverage,199,DCC,3,1635.0,3,1,0,3,1,430.4,272.5,7.400009517162692,6.067035733955056
Extended Coverage,200,Dun Laoghaire,2,1296.0,2,1,1,4,2,779.44,324.0,7.167809184316444,6.659857863201698
Extended Coverage,0,DCC,2,1139.0,2,2,0,1,0,617.82,284.75,7.038783541388542,6.427814438797167
Extended Coverage,230,Fingal,2,1230.0,3,2,0,7,2,433.7,246.0,7.115582126184454,6.074656137994746
Extended Coverage,0,Fingal,1,581.91,2,1,0,1,0,487.62,193.97,6.368032800505652,6.191585091264652
Extended Coverage,353,South Dublin,2,1245.0,2,1,0,5,2,786.57,311.25,7.1276936993473985,6.668952255638294
Land Parcel,0,Fingal,3,1158.0,2,2,0,3,1,833.12,231.6,7.055312843339752,6.726377276900394
Extended Coverage,0,Dun Laoghaire,2,550.0,1,1,0,6,2,309.55,183.33333333333334,6.311734809152915,5.738344919005312
Extended Coverage,0,DCC,1,360.0,1,1,0,6,2,819.72,180.0,5.8888779583328805,6.710182003779457
Extended Coverage,0,DCC,3,1350.0,3,1,0,3,1,462.41,225.0,7.208600337960199,6.1386121913942695
Constructed Space,0,Fingal,3,1670.0,3,2,1,1,0,815.57,278.3333333333333,7.421177528595393,6.705112640517757
Extended Coverage,0,DCC,3,1600.0,2,2,1,5,2,461.09,320.0,7.3783837129967145,6.135759677304476
Extended Coverage,0,South Dublin,2,1307.0,2,2,0,3,1,448.09,326.75,7.176254532017144,6.107223313090051
Constructed Space,0,Fingal,3,1050.0,2,1,0,7,2,616.14,210.0,6.957497370876951,6.4250959025424965
Extended Coverage,0,Fingal,3,1703.0,3,1,0,1,0,673.14,283.8333333333333,7.440733707389261,6.513437804476037
Extended Coverage,0,South Dublin,3,1210.0,2,1,0,2,1,544.05,242.0,7.099201743553092,6.300877533574368
Constructed Space,352,Dun Laoghaire,2,1025.0,2,1,1,1,0,327.77,256.25,6.933423025730715,5.795358418143411
Extended Coverage,0,Fingal,2,1140.0,2,2,0,4,2,428.11,285.0,7.039660349862076,6.061713296316936
Extended Coverage,0,Fingal,3,1343.0,2,2,1,1,0,476.73,268.6,7.203405521083095,6.169045719345101
Extended Coverage,0,Fingal,3,1560.0,3,2,0,4,2,618.43,260.0,7.353081920515432,6.428799700334572
Extended Coverage,229,South Dublin,2,925.0,2,2,0,5,2,625.78,231.25,6.8308742346461795,6.440595601868132
Extended Coverage,0,Dun Laoghaire,3,1420.0,2,2,0,3,1,599.47,284.0,7.259116128097101,6.397712681904051
Constructed Space,0,South Dublin,2,1415.0,2,3,0,7,2,882.33,353.75,7.255591274253665,6.783698856720132
Extended Coverage,0,Fingal,2,1210.0,2,2,0,7,2,562.81,302.5,7.099201743553092,6.334717315308811
Extended Coverage,0,DCC,3,1852.0,3,2,0,3,1,980.56,308.6666666666667,7.52456122628536,6.8891431427701555
Extended Coverage,0,South Dublin,3,1250.0,3,2,0,5,2,454.0,208.33333333333334,7.1316985104669115,6.12029741895095
Extended Coverage,264,Fingal,2,1100.0,2,1,0,7,2,670.68,275.0,7.00397413672268,6.509782036632268
Extended Coverage,0,South Dublin,2,1150.0,2,1,0,6,2,397.25,287.5,7.048386408721883,5.987079948790158
Extended Coverage,354,DCC,2,1100.0,2,1,1,5,2,550.47,275.0,7.00397413672268,6.31258744011516
Land Parcel,0,South Dublin,2,1350.0,1,0,1,1,0,840.74,450.0,7.208600337960199,6.735471177958736
Extended Coverage,0,DCC,3,1546.0,3,2,0,3,1,726.81,257.6666666666667,7.344072850573066,6.590040025122138
Extended Coverage,0,Fingal,2,1424.0,2,2,0,5,2,717.35,356.0,7.261927092702751,6.576956915456728
Constructed Space,0,DCC,3,1398.0,3,1,0,2,1,552.07,233.0,7.243512974665482,6.315484575789955
Land Parcel,0,South Dublin,4,1200.0,4,0,1,1,0,1135.0,150.0,7.0909098220799835,7.035268599281097
Extended Coverage,0,DCC,3,1476.0,3,2,0,4,2,807.42,246.0,7.29776828253138,6.6950817254510415
Extended Coverage,230,South Dublin,3,1322.0,2,2,0,4,2,505.0,264.4,7.187657164114956,6.226536669287466
Land Parcel,0,Fingal,2,432.0,2,1,1,3,1,1050.93,108.0,6.07073772800249,6.958381851159822
Constructed Space,0,Fingal,2,1100.0,2,2,0,7,2,567.5,275.0,7.00397413672268,6.343001313190591
Constructed Space,0,DCC,3,1285.0,2,2,0,1,0,600.62,257.0,7.1592919047975645,6.399626016763889
Constructed Space,0,South Dublin,2,1150.0,2,2,0,4,2,789.57,287.5,7.048386408721883,6.672754204278722
Extended Coverage,0,Dun Laoghaire,3,1430.0,2,2,1,6,2,444.48,286.0,7.266128779556451,6.099152352524899
Extended Coverage,0,Fingal,3,1350.0,2,2,1,6,2,521.26,270.0,7.208600337960199,6.25816554817102
Constructed Space,0,South Dublin,2,1185.0,2,2,0,3,1,622.57,296.25,7.078341579557671,6.435461028265021
Extended Coverage,0,Fingal,3,1760.0,3,2,0,1,0,432.07,293.3333333333333,7.473637108496206,6.070899377754016
Extended Coverage,355,Dun Laoghaire,2,900.0,2,1,0,3,1,517.06,225.0,6.803505257608338,6.250091065667523
Extended Coverage,200,Dun Laoghaire,2,1297.0,2,1,1,1,0,918.85,324.25,7.168579897264035,6.824210613271792
Extended Coverage,0,Fingal,3,1840.0,3,2,0,1,0,956.11,306.6666666666667,7.518064181233078,6.863918327376304
Constructed Space,0,DCC,2,950.0,2,1,1,4,2,606.81,237.5,6.85751406254539,6.409862333127867
Usable Interior,0,South Dublin,2,950.0,2,1,0,2,1,621.26,237.5,6.85751406254539,6.433358011829698
Extended Coverage,17,Dun Laoghaire,3,1571.0,3,2,0,5,2,643.0,261.8333333333333,7.360103972989152,6.467698726104354
Extended Coverage,0,Fingal,2,1031.0,2,1,1,5,2,605.48,257.75,6.939253946041508,6.407671751748048
Extended Coverage,353,Dun Laoghaire,2,1485.0,2,1,0,7,2,687.88,371.25,7.303843225277705,6.535067090387909
Extended Coverage,352,Fingal,2,1109.0,2,1,1,2,1,614.07,277.25,7.01211529430638,6.421736082467595
Extended Coverage,0,DCC,3,2200.0,3,2,0,1,0,928.64,366.6666666666667,7.696667081526462,6.8347974144318115
Extended Coverage,108,Dun Laoghaire,1,950.0,1,1,1,6,2,597.37,475.0,6.85751406254539,6.394209291713692
Extended Coverage,199,DCC,2,1161.0,2,1,0,3,1,539.15,290.25,7.057897937411856,6.2918468787629935
Extended Coverage,108,Fingal,2,1003.0,2,1,1,5,2,459.43,250.75,6.911747300251674,6.13216083545466
Extended Coverage,169,Fingal,2,1080.0,2,2,0,5,2,388.84,270.0,6.985641817639208,5.965736398535251
Extended Coverage,0,DCC,2,1255.0,2,2,1,5,2,660.2,313.75,7.135687347028144,6.494056365946869
Extended Coverage,0,South Dublin,2,1250.0,2,0,0,3,1,544.8,312.5,7.1316985104669115,6.302252608274238
Land Parcel,0,DCC,4,1700.0,4,1,0,2,1,1014.82,212.5,7.438971592395862,6.923451447088461
Land Parcel,0,DCC,3,1200.0,2,0,0,3,1,624.25,240.0,7.0909098220799835,6.4381515697577285
Constructed Space,0,Fingal,2,824.0,2,0,1,5,2,826.46,206.0,6.715383386334681,6.718360767714302
Extended Coverage,0,South Dublin,3,1875.0,3,1,0,3,1,1010.91,312.5,7.53689712956617,6.91959491308633
Constructed Space,230,South Dublin,3,1320.0,2,1,0,2,1,327.77,264.0,7.186144304522325,5.795358418143411
Extended Coverage,0,Dun Laoghaire,3,1330.0,2,1,1,2,1,401.09,266.0,7.193685818395112,5.996675944158515
Extended Coverage,0,South Dublin,3,1220.0,3,2,0,6,2,520.98,203.33333333333334,7.107425474110705,6.257629272972387
Extended Coverage,352,Dun Laoghaire,3,1111.0,3,1,1,1,0,510.8,185.16666666666666,7.013915474810528,6.237933923725689
Extended Coverage,0,South Dublin,2,1197.0,2,1,1,1,0,454.0,299.25,7.088408778675395,6.12029741895095
Extended Coverage,230,Fingal,3,1340.0,2,1,0,2,1,847.01,268.0,7.201170883281678,6.742892428175203
Land Parcel,0,DCC,4,1450.0,3,3,0,7,2,1033.24,207.14285714285714,7.280008252884188,6.941422136452621
Extended Coverage,173,DCC,3,1837.0,3,3,0,5,2,895.89,306.1666666666667,7.516433302915632,6.798933223546805
Extended Coverage,0,Fingal,2,1238.0,2,3,0,3,1,504.24,309.5,7.122059881629142,6.225033563905774
Extended Coverage,0,Fingal,3,1405.0,2,2,0,5,2,476.7,281.0,7.2485040723706105,6.168982920395917
Extended Coverage,0,South Dublin,4,1690.0,3,2,0,7,2,537.28,241.42857142857142,7.43307534889858,6.28837887087334
Constructed Space,0,Other,3,1620.0,2,1,0,2,1,770.68,324.0,7.390798521735676,6.648569956320662
Extended Coverage,0,Dun Laoghaire,3,1673.0,3,2,0,6,2,780.19,278.8333333333333,7.422971251049421,6.66081839810134
Land Parcel,0,South Dublin,2,1090.0,2,0,1,1,0,603.94,272.5,6.994849985833071,6.405129279559101
Extended Coverage,0,DCC,2,1112.0,2,2,0,6,2,408.27,278.0,7.014814351275545,6.014375084941085
Extended Coverage,0,Fingal,3,1385.0,2,2,1,7,2,546.19,277.0,7.234177179749849,6.304796091287552
Extended Coverage,0,Fingal,2,545.0,1,1,0,6,2,562.29,181.66666666666666,6.302618975744905,6.333794593213355
Extended Coverage,0,Fingal,2,985.0,2,1,0,6,2,668.32,246.25,6.893656354602635,6.5062622716263725
Extended Coverage,0,Dun Laoghaire,2,1080.0,2,1,1,1,0,397.25,270.0,6.985641817639208,5.987079948790158
Extended Coverage,78,DCC,2,1430.0,2,1,0,5,2,774.02,357.5,7.266128779556451,6.6528888354719795
Extended Coverage,0,Fingal,2,1050.0,2,2,1,5,2,464.81,262.5,6.957497370876951,6.143777825661188
Land Parcel,0,Fingal,4,2000.0,4,1,0,5,2,788.82,250.0,7.601402334583733,6.671805071398479
Constructed Space,0,Fingal,3,1533.0,3,2,1,6,2,851.44,255.5,7.335633981927201,6.748102825449125
Extended Coverage,0,Fingal,3,1750.0,3,2,0,1,0,972.86,291.6666666666667,7.467942332285852,6.881267556145034
Land Parcel,0,DCC,3,1200.0,2,0,1,4,2,624.25,240.0,7.0909098220799835,6.4381515697577285
Extended Coverage,0,South Dublin,2,1352.0,2,2,0,5,2,734.56,338.0,7.210079628170788,6.600632113872653
Extended Coverage,0,DCC,3,1754.0,3,2,0,2,1,808.87,292.3333333333333,7.470224135899966,6.696873740958812
Constructed Space,0,Fingal,3,1560.0,3,2,1,1,0,618.43,260.0,7.353081920515432,6.428799700334572
Extended Coverage,0,Fingal,3,1470.0,2,1,0,6,2,694.9,294.0,7.293697720601438,6.545205971850804
Constructed Space,0,Fingal,2,1035.0,2,1,0,5,2,493.48,258.75,6.943122422819428,6.203506705351018
Constructed Space,0,South Dublin,2,1160.0,2,1,0,2,1,508.79,290.0,7.057036981697891,6.233998876214124
