ID,property_scope,availability,location,size,total_sqft,bath,balcony,buying or not buying,BER,Renovation needed,price-per-sqft-$
1179,Extended Coverage,17-Nov,Dun Laoghaire,1 BED,697,1,0,No,G,Yes,732.7833572
1180,Constructed Space,Ready To Move,Dun Laoghaire,1 BED,710,1,1,Yes,B,Maybe,431.6197183
1181,Usable Interior,Ready To Move,Other,2 BED,910,2,1,No,C,Maybe,380.4120879
1182,Constructed Space,Ready To Move,South Dublin,3 BED,1025,2,1,No,G,Yes,531.5121951
1183,Extended Coverage,18-Aug,South Dublin,2 BED,884 - 1116,2,0,No,B,Maybe,
1184,Land Parcel,Ready To Move,DCC,4 Bedroom,1200,4,,No,F,Yes,2307.833333
1185,Extended Coverage,18-May,Fingal,3 BED,1453,2,1,No,D,Yes,363.0750172
1186,Extended Coverage,Ready To Move,Dun Laoghaire,4 BED,3335,5,2,No,E,Yes,1020.989505
1187,Extended Coverage,18-Mar,Dun Laoghaire,2 BED,850 - 1093,2,0,Yes,B,Maybe,
1188,Extended Coverage,Ready To Move,DCC,2 BED,1281,2,1,Yes,C,Maybe,655.6596409
1189,Constructed Space,Ready To Move,South Dublin,1 BED,565,1,1,No,C,Maybe,703.0973451
1190,Constructed Space,Ready To Move,DCC,2 BED,1024,2,2,No,C,Maybe,465.5273438
1191,Constructed Space,Ready To Move,Dun Laoghaire,3 BED,1620,3,2,No,E,Yes,434.382716
1192,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1254,2,2,Yes,B,Maybe,362.0414673
1193,Constructed Space,Ready To Move,DCC,3 BED,1300,2,2,No,F,Yes,654.8076923
1194,Constructed Space,Ready To Move,South Dublin,2 BED,1233,2,2,No,E,Yes,395.8231955
1195,Land Parcel,Ready To Move,Fingal,1 Bedroom,1200,1,1,No,C,Maybe,264.8333333
1196,Extended Coverage,18-Oct,DCC,3 BED,1510,2,1,Yes,B,Maybe,789.2384106
1197,Extended Coverage,Ready To Move,South Dublin,2 BED,950,2,1,Yes,A,No,776.5789474
1198,Extended Coverage,Ready To Move,South Dublin,3 BED,1945,3,2,Yes,C,Maybe,568.4920308
1199,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1008,2,3,No,E,Yes,506.6964286
1200,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1265,2,1,No,F,Yes,708.8142292
1201,Extended Coverage,19-Dec,Dun Laoghaire,3 BED,1255,2,1,No,F,Yes,702.5243028
1202,Constructed Space,18-Dec,Dun Laoghaire,4 BED,2689,6,2,Yes,E,Yes,928.5979918
1203,Constructed Space,Ready To Move,South Dublin,2 BED,1200,2,2,No,D,Yes,436.6908333
1204,Extended Coverage,19-Dec,Dun Laoghaire,3 BED,1403,3,3,Yes,A,No,417.6764077
1205,Extended Coverage,Ready To Move,Fingal,3 BED,1535,3,2,No,F,Yes,628.5016287
1206,Land Parcel,Ready To Move,Other,3 Bedroom,1500,3,3,No,G,Yes,756.6666667
1207,Extended Coverage,Ready To Move,South Dublin,3 BED,1475,2,2,No,G,Yes,923.3898305
1208,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1390,2,2,No,G,Yes,493.7654676
1209,Extended Coverage,Ready To Move,Fingal,3 BED,1278,2,1,Yes,E,Yes,477.4460094
1210,Extended Coverage,Ready To Move,Fingal,2 BED,1133,2,2,Yes,E,Yes,550.9708738
1211,Land Parcel,Ready To Move,Fingal,5 Bedroom,1560,5,1,No,B,Maybe,1054.967949
1212,Land Parcel,Ready To Move,Other,5 Bedroom,2900,5,2,Yes,E,Yes,352.2413793
1213,Extended Coverage,Ready To Move,South Dublin,2 BED,1170,2,1,Yes,B,Maybe,504.3470085
1214,Land Parcel,Ready To Move,Fingal,3 Bedroom,1200,3,3,No,A,No,1891.666667
1215,Extended Coverage,18-Dec,Dun Laoghaire,3 BED,1697,3,2,Yes,B,Maybe,633.9811432
1216,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1651,3,3,Yes,A,No,669.450636
1217,Extended Coverage,Ready To Move,Fingal,3 BED,1560,3,1,Yes,C,Maybe,1367.820513
1218,Extended Coverage,17-Apr,Fingal,3 BED,1192,2,1,No,C,Maybe,571.3087248
1219,Constructed Space,Ready To Move,South Dublin,2 BED,1078,2,3,No,C,Maybe,684.3692022
1220,Land Parcel,Ready To Move,Fingal,7 Bedroom,800,7,3,No,C,Maybe,1489.6875
1221,Extended Coverage,Ready To Move,DCC,2 BED,1349,2,2,No,C,Maybe,656.2638992
1222,Land Parcel,Ready To Move,South Dublin,9 Bedroom,2300,8,1,Yes,D,Yes,1036.304348
1223,Extended Coverage,Ready To Move,Fingal,3 BED,1680,3,2,No,F,Yes,810.7142857
1224,Extended Coverage,Ready To Move,South Dublin,3 BED,1314,2,2,Yes,E,Yes,544.1780822
1225,Extended Coverage,Ready To Move,South Dublin,2 BED,1060,2,1,Yes,G,Yes,521.4575472
1226,Constructed Space,Ready To Move,South Dublin,2 BED,820,2,0,No,G,Yes,539.8170732
1227,Land Parcel,Ready To Move,Dun Laoghaire,4 Bedroom,5000,4,3,Yes,B,Maybe,908
1228,Extended Coverage,Ready To Move,South Dublin,3 BED,2000,3,2,Yes,F,Yes,482.375
1229,Extended Coverage,Ready To Move,South Dublin,2 BED,856,2,3,No,E,Yes,530.3738318
1230,Extended Coverage,18-Feb,Fingal,3 BED,1621,4,0,No,G,Yes,910.2405922
1231,Land Parcel,18-Dec,South Dublin,3 Bedroom,1200,3,1,No,F,Yes,646.95
1232,Extended Coverage,Ready To Move,Fingal,3 BED,1484,3,2,No,F,Yes,401.5330189
1233,Land Parcel,Ready To Move,Other,4 Bedroom,600,5,2,No,C,Maybe,1135
1234,Land Parcel,Ready To Move,Fingal,4 Bedroom,14000,3,2,Yes,A,No,648.5714286
1235,Extended Coverage,Ready To Move,Fingal,1 BED,500,1,1,No,B,Maybe,454
1236,Extended Coverage,Ready To Move,Fingal,1 BED,485,1,1,No,D,Yes,351.0309278
1237,Extended Coverage,Ready To Move,Fingal,2 BED,1050,2,1,No,F,Yes,454
1238,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1617,3,3,No,G,Yes,468.0383426
1239,Constructed Space,Ready To Move,Dun Laoghaire,2 BED,550,1,1,Yes,B,Maybe,330.1818182
1240,Constructed Space,Ready To Move,Fingal,3 BED,1384,3,2,Yes,A,No,510.75
1241,Extended Coverage,18-Apr,DCC,2 BED,1408,2,2,No,E,Yes,685.1917614
1242,Constructed Space,Ready To Move,Dun Laoghaire,2 BED,1150,2,1,No,C,Maybe,483.6086957
1243,Extended Coverage,Ready To Move,DCC,3 BED,1410,2,2,No,B,Maybe,603.7234043
1244,Constructed Space,Ready To Move,DCC,4 BED,2150,4,1,Yes,B,Maybe,527.9069767
1245,Extended Coverage,Ready To Move,DCC,3 BED,2292,4,1,Yes,A,No,1361.80192
1246,Constructed Space,Ready To Move,DCC,3 BED,2006,3,,No,F,Yes,1680.433699
1247,Constructed Space,Ready To Move,Fingal,3 BED,1508,3,2,No,F,Yes,528.7380637
1248,Constructed Space,Ready To Move,DCC,2 BED,1040,2,2,No,G,Yes,545.6730769
1249,Land Parcel,Ready To Move,DCC,2 Bedroom,1240,2,1,No,D,Yes,549.1935484
1250,Extended Coverage,Ready To Move,Fingal,3 BED,1535,3,1,No,D,Yes,576.742671
1251,Constructed Space,Ready To Move,Fingal,2 BED,1180,2,2,No,B,Maybe,721.3983051
1252,Constructed Space,Ready To Move,South Dublin,6 Bedroom,2200,6,2,No,E,Yes,350.8181818
1253,Extended Coverage,Ready To Move,Fingal,2 BED,1400,2,2,No,G,Yes,632.3571429
1254,Extended Coverage,Ready To Move,Fingal,1 BED,500,1,1,No,B,Maybe,567.5
1255,Land Parcel,Ready To Move,Dun Laoghaire,4 Bedroom,4800,4,3,No,C,Maybe,1241.40625
1256,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1984,4,1,Yes,A,No,835.2318548
1257,Land Parcel,Ready To Move,Dun Laoghaire,4 Bedroom,3000,5,3,No,C,Maybe,945.8333333
1258,Extended Coverage,Ready To Move,South Dublin,3 BED,1960,3,3,Yes,A,No,926.5306122
1259,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1035,2,1,Yes,A,No,493.4782609
1260,Constructed Space,Ready To Move,Fingal,4 Bedroom,2150,4,1,No,B,Maybe,422.3255814
1261,Constructed Space,Ready To Move,Dun Laoghaire,3 BED,1700,3,2,No,D,Yes,767.7941176
1262,Extended Coverage,Ready To Move,Fingal,4 BED,3024,5,1,No,C,Maybe,930.8201058
1263,Extended Coverage,21-Jan,Fingal,3 BED,1586,3,1,No,G,Yes,715.6368222
1264,Constructed Space,18-May,DCC,3 Bedroom,2264,,,Yes,G,Yes,777.0538869
1265,Land Parcel,Ready To Move,South Dublin,4 Bedroom,2325,4,1,Yes,B,Maybe,585.8064516
1266,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1120,2,2,No,G,Yes,557.3660714
1267,Extended Coverage,18-Jun,Dun Laoghaire,3 BED,1440 - 1884,,,Yes,B,Maybe,
1268,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1128,2,2,No,F,Yes,593.6613475
1269,Land Parcel,Ready To Move,South Dublin,6 Bedroom,1200,6,2,Yes,G,Yes,2364.583333
1270,Extended Coverage,Ready To Move,DCC,2 BED,924,2,2,No,E,Yes,798.4307359
1271,Extended Coverage,Ready To Move,Fingal,3 BED,1600,3,2,No,A,No,368.875
1272,Extended Coverage,Ready To Move,South Dublin,2 BED,1006,2,2,No,G,Yes,394.8807157
1273,Extended Coverage,Ready To Move,South Dublin,2 BED,1200,2,2,No,C,Maybe,520.2083333
1274,Extended Coverage,20-Dec,Fingal,2 BED,1250,2,1,No,C,Maybe,562.96
1275,Land Parcel,Ready To Move,Other,3 Bedroom,1200,3,1,Yes,A,No,1229.583333
1276,Constructed Space,Ready To Move,South Dublin,2 BED,957,2,1,Yes,A,No,664.1588297
1277,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1140,2,2,Yes,G,Yes,408.2017544
1278,Extended Coverage,Ready To Move,Fingal,2 BED,1050,2,1,No,B,Maybe,724.2380952
1279,Extended Coverage,Ready To Move,South Dublin,3 BED,1565,3,2,No,G,Yes,641.8370607
1280,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1190,2,3,Yes,A,No,543.6554622
1281,Constructed Space,18-Jan,Dun Laoghaire,3 Bedroom,2842,3,2,No,G,Yes,646.973962
1282,Constructed Space,Ready To Move,Dun Laoghaire,3 BED,1558.67,2,2,No,C,Maybe,473.3202025
1283,Extended Coverage,Ready To Move,DCC,1 BED,630,1,1,No,A,No,702.6190476
1284,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1403,2,2,Yes,D,Yes,491.9408411
1285,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1542,2,3,Yes,E,Yes,625.6485084
1286,Constructed Space,Ready To Move,Fingal,4 Bedroom,2750,4,0,No,C,Maybe,908
1287,Extended Coverage,Ready To Move,South Dublin,4 BED,3596,5,1,Yes,G,Yes,915.3225806
1288,Extended Coverage,Ready To Move,Fingal,3 BED,1635,2,,No,F,Yes,541.4678899
1289,Extended Coverage,Ready To Move,DCC,2 BED,1239,2,1,Yes,A,No,485.5125101
1290,Extended Coverage,Ready To Move,Fingal,2 BED,1194,2,2,No,C,Maybe,446.7755444
1291,Extended Coverage,Ready To Move,Fingal,3 BED,1596,3,1,No,F,Yes,746.7105263
1292,Extended Coverage,17-Nov,Fingal,2 BED,1009,2,1,No,A,No,431.2775025
1293,Extended Coverage,18-Jul,DCC,3 BED,1726,3,2,No,C,Maybe,539.1575898
1294,Extended Coverage,Ready To Move,Fingal,3 BED,1535,3,2,No,D,Yes,635.8957655
1295,Extended Coverage,Ready To Move,South Dublin,3 BED,1300,2,1,No,E,Yes,510.75
1296,Land Parcel,Ready To Move,Dun Laoghaire,4 Bedroom,3100,4,2,No,G,Yes,1702.5
1297,Extended Coverage,Ready To Move,Fingal,3 BED,1800,3,3,Yes,D,Yes,504.4444444
1298,Extended Coverage,19-Dec,South Dublin,1 BED,665,1,0,No,E,Yes,866.1834586
1299,Land Parcel,Ready To Move,South Dublin,9 Bedroom,4050,7,1,No,C,Maybe,3362.962963
1300,Land Parcel,Ready To Move,DCC,3 Bedroom,1500,2,1,No,G,Yes,756.6666667
1301,Constructed Space,Ready To Move,South Dublin,2 BED,925,2,2,No,D,Yes,588.972973
1302,Extended Coverage,18-Dec,Fingal,4 BED,3356,4,,No,G,Yes,848.8825983
1303,Extended Coverage,Ready To Move,Fingal,2 BED,1395,2,1,No,A,No,517.3806452
1304,Extended Coverage,Ready To Move,South Dublin,3 BED,1415,2,1,No,B,Maybe,441.1660777
1305,Extended Coverage,Ready To Move,South Dublin,3 BED,1419,2,2,No,C,Maybe,471.9168428
1306,Extended Coverage,18-Feb,DCC,2 BED,1121,2,2,No,G,Yes,789.7413024
1307,Extended Coverage,Ready To Move,South Dublin,3 BED,1082,2,1,No,D,Yes,472.0425139
1308,Extended Coverage,18-Jun,DCC,2 BED,1100,2,1,No,A,No,484.9545455
1309,Extended Coverage,Ready To Move,DCC,3 BED,1606,3,3,No,B,Maybe,632.871731
1310,Constructed Space,Ready To Move,South Dublin,3 BED,1650,3,2,Yes,A,No,605.3333333
1311,Extended Coverage,Ready To Move,Other,3 BED,4634,4,3,Yes,E,Yes,2486.02719
1312,Extended Coverage,Ready To Move,Fingal,2 BED,1206,2,3,No,D,Yes,705.8457711
1313,Constructed Space,Ready To Move,Dun Laoghaire,3 BED,1495,2,0,No,C,Maybe,485.8862876
1314,Land Parcel,Ready To Move,DCC,8 Bedroom,840,7,2,No,A,No,2634.821429
1315,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,710,2,2,Yes,E,Yes,255.7746479
1316,Extended Coverage,Ready To Move,DCC,2 BED,1210,2,1,No,A,No,675.3719008
1317,Extended Coverage,Ready To Move,DCC,3 BED,1523,2,2,Yes,D,Yes,397.9579777
1318,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1232,2,2,No,E,Yes,414.5698052
1319,Extended Coverage,20-Aug,DCC,1 BED,680,1,1,No,B,Maybe,734.4117647
1320,Extended Coverage,19-Dec,Dun Laoghaire,3 BED,1355,3,1,No,G,Yes,702.5269373
1321,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1430,2,2,Yes,E,Yes,408.4412587
1322,Extended Coverage,18-Jun,South Dublin,3 BED,1275,2,2,Yes,A,No,390.3505882
1323,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1070,2,1,No,F,Yes,595.0794393
1324,Land Parcel,Ready To Move,Fingal,3 Bedroom,1200,3,1,No,C,Maybe,803.9583333
1325,Land Parcel,Ready To Move,Dun Laoghaire,4 Bedroom,2000,4,0,No,F,Yes,681
1326,Extended Coverage,Ready To Move,Fingal,2 BED,1200,2,2,Yes,B,Maybe,378.3333333
1327,Extended Coverage,Ready To Move,Fingal,3 BED,1610,3,1,No,B,Maybe,634.4720497
1328,Extended Coverage,Ready To Move,Fingal,2 BED,1140,2,2,Yes,E,Yes,428.1140351
1329,Extended Coverage,Ready To Move,Fingal,2 BED,1143,2,2,No,F,Yes,383.7944007
1330,Extended Coverage,22-May,DCC,4 BED,3467.86,6,3,No,D,Yes,814.9550443
1331,Extended Coverage,Ready To Move,DCC,3 BED,1530,2,2,No,C,Maybe,551.9215686
1332,Extended Coverage,Ready To Move,Fingal,2 BED,980,2,2,No,C,Maybe,799.1326531
1333,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1485,3,2,No,C,Maybe,496.8013468
1334,Land Parcel,18-May,Dun Laoghaire,3 Bedroom,1500,3,1,No,G,Yes,983.6666667
1335,Extended Coverage,18-Oct,Dun Laoghaire,2 BED,1280,2,1,No,F,Yes,665.0390625
1336,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1265,2,2,No,D,Yes,762.6482213
1337,Constructed Space,20-Dec,Fingal,2 BED,1132,2,1,Yes,B,Maybe,671.7756184
1338,Extended Coverage,Ready To Move,Fingal,2 BED,1262,2,2,No,G,Yes,566.6006339
1339,Extended Coverage,Ready To Move,DCC,2 BED,940,2,1,Yes,C,Maybe,591.6489362
1340,Extended Coverage,Ready To Move,Fingal,3 BED,1515,3,3,No,B,Maybe,659.2739274
1341,Extended Coverage,Ready To Move,DCC,3 BED,1300,3,3,No,A,No,1309.615385
1342,Constructed Space,Ready To Move,DCC,3 Bedroom,1840,3,1,Yes,B,Maybe,425.625
1343,Constructed Space,Ready To Move,Dun Laoghaire,2 BED,890,2,2,No,C,Maybe,573.8764045
1344,Extended Coverage,Ready To Move,Other,3 BED,1655,3,2,Yes,G,Yes,590.2
1345,Extended Coverage,Ready To Move,Fingal,3 BED,2060,3,1,No,E,Yes,820.9466019
1346,Extended Coverage,Ready To Move,Fingal,3 BED,1730,3,1,Yes,F,Yes,629.8265896
1347,Constructed Space,Ready To Move,Dun Laoghaire,3 BED,2195,4,2,Yes,B,Maybe,656.6970387
1348,Extended Coverage,18-Mar,South Dublin,3 BED,1650,3,2,No,E,Yes,859.8484848
1349,Land Parcel,Ready To Move,DCC,2 Bedroom,1200,2,0,No,C,Maybe,671.5416667
1350,Extended Coverage,18-May,DCC,2 BED,1079,2,1,Yes,D,Yes,340.4995366
1351,Extended Coverage,19-Oct,DCC,2 BED,1085,2,1,No,B,Maybe,376.5898618
1352,Constructed Space,Ready To Move,Fingal,7 Bedroom,5000,7,,No,A,No,678.73
1353,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1075,2,1,Yes,A,No,543.744186
1354,Extended Coverage,18-May,Fingal,2 BED,1380,2,1,Yes,B,Maybe,657.9710145
1355,Extended Coverage,Ready To Move,Fingal,3 BED,1450,3,1,No,F,Yes,508.7931034
1356,Extended Coverage,Ready To Move,South Dublin,2 BED,1200,2,2,No,E,Yes,737.75
1357,Extended Coverage,Ready To Move,South Dublin,3 BED,3200,4,,No,D,Yes,1241.40625
1358,Extended Coverage,21-Jul,DCC,3 BED,1639,3,1,No,D,Yes,680.8615009
1359,Extended Coverage,Ready To Move,Fingal,2 BED,1200,2,1,No,G,Yes,510.75
1360,Extended Coverage,21-Jun,Fingal,3 BED,1739,3,1,No,A,No,757.1017826
1361,Constructed Space,Ready To Move,Fingal,4 Bedroom,4346,5,,No,B,Maybe,1305.798435
1362,Extended Coverage,20-Dec,DCC,2 BED,935,2,1,No,F,Yes,397.1893048
1363,Extended Coverage,21-Nov,Fingal,1 BED,510,1,1,Yes,G,Yes,561.9352941
1364,Land Parcel,Ready To Move,Fingal,6 Bedroom,1200,6,3,Yes,D,Yes,1702.5
1365,Extended Coverage,Ready To Move,Fingal,2 BED,1178,2,3,Yes,C,Maybe,452.8438031
1366,Constructed Space,Ready To Move,Fingal,3 BED,1375,2,1,Yes,A,No,412.7272727
1367,Extended Coverage,Ready To Move,Fingal,3 BED,1065,2,1,Yes,C,Maybe,351.6901408
1368,Extended Coverage,Ready To Move,South Dublin,3 BED,1450,2,1,No,B,Maybe,397.2496552
1369,Constructed Space,Ready To Move,South Dublin,2 BED,999,2,3,No,D,Yes,511.2612613
1370,Extended Coverage,Ready To Move,South Dublin,2 BED,4400,3,2,No,C,Maybe,1225.284091
1371,Land Parcel,Ready To Move,Fingal,5 Bedroom,1350,4,1,No,F,Yes,1135
1372,Constructed Space,Ready To Move,South Dublin,2 BED,1100,2,2,No,C,Maybe,412.7272727
1373,Extended Coverage,Ready To Move,DCC,3 BED,1835,2,3,No,D,Yes,958.719346
1374,Extended Coverage,20-Dec,DCC,4 BED,2090,4,0,No,E,Yes,516.4521531
1375,Extended Coverage,Ready To Move,South Dublin,3 BED,1519,3,1,No,D,Yes,694.8979592
1376,Constructed Space,Ready To Move,South Dublin,3 BED,1267,3,2,No,D,Yes,501.6574586
1377,Extended Coverage,Ready To Move,South Dublin,2 BED,1150,2,3,No,F,Yes,712.5826087
1378,Extended Coverage,19-Dec,Fingal,2 BED,1146,2,1,No,D,Yes,693.2809773
1379,Land Parcel,18-Feb,Fingal,8 Bedroom,1200,7,0,No,G,Yes,2222.708333
1380,Constructed Space,Ready To Move,South Dublin,3 BED,1550,3,3,No,G,Yes,475.9677419
1381,Constructed Space,Ready To Move,Fingal,2 BED,850,1,1,No,C,Maybe,247.0294118
1382,Extended Coverage,Ready To Move,Fingal,3 BED,2200,3,,No,A,No,964.75
1383,Constructed Space,Ready To Move,Fingal,3 Bedroom,3329,3,2,Yes,C,Maybe,1125.112646
1384,Usable Interior,Ready To Move,DCC,1 BED,785,1,1,No,D,Yes,795.2229299
1385,Extended Coverage,Ready To Move,Fingal,3 BED,2900,4,,Yes,B,Maybe,1174.137931
1386,Constructed Space,Ready To Move,Fingal,3 BED,1610,3,2,No,D,Yes,521.6770186
1387,Extended Coverage,Ready To Move,DCC,2 BED,921,2,2,No,C,Maybe,492.9424539
1388,Land Parcel,Ready To Move,Fingal,3 Bedroom,850,3,2,No,D,Yes,1268.529412
1389,Constructed Space,Ready To Move,Fingal,5 Bedroom,2700,5,0,No,G,Yes,664.1851852
1390,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1700,3,3,No,C,Maybe,734.4117647
1391,Constructed Space,Ready To Move,DCC,2 BED,1020,2,2,No,B,Maybe,389.4607843
1392,Extended Coverage,Ready To Move,South Dublin,2 BED,1090,2,3,Yes,F,Yes,541.4678899
1393,Land Parcel,Ready To Move,Fingal,4 Bedroom,3600,4,,No,B,Maybe,945.8333333
1394,Extended Coverage,Ready To Move,Fingal,2 BED,1027,2,2,No,C,Maybe,486.2706913
1395,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1185,2,2,No,G,Yes,403.2362869
1396,Extended Coverage,Ready To Move,Fingal,2 BED,850,2,1,No,D,Yes,333.8235294
1397,Constructed Space,Ready To Move,DCC,2 BED,1197,2,1,No,F,Yes,796.4912281
1398,Extended Coverage,Ready To Move,Fingal,4 BED,3500,3,3,No,A,No,1459.285714
1399,Extended Coverage,Ready To Move,South Dublin,2 BED,920,2,2,No,D,Yes,487.926087
1400,Extended Coverage,Ready To Move,South Dublin,9 BED,716Sq. Meter,9,1,No,G,Yes,
1401,Extended Coverage,Ready To Move,Fingal,2 BED,1105,2,1,Yes,G,Yes,667.6470588
1402,Extended Coverage,Ready To Move,DCC,3 BED,1850,3,3,No,E,Yes,613.5135135
1403,Extended Coverage,20-Dec,South Dublin,3 BED,1300,3,1,Yes,D,Yes,558.7692308
1404,Constructed Space,Ready To Move,Fingal,3 BED,1595,3,2,No,E,Yes,540.815047
1405,Extended Coverage,19-Dec,South Dublin,4 BED,3073,5,2,Yes,F,Yes,2570.647576
1406,Constructed Space,Ready To Move,Fingal,2 BED,755,2,1,No,D,Yes,563.5907285
1407,Constructed Space,Ready To Move,South Dublin,5 Bedroom,4050,5,2,No,D,Yes,392.345679
1408,Extended Coverage,21-Dec,Dun Laoghaire,3 BED,1300,2,3,Yes,B,Maybe,602.4230769
1409,Constructed Space,Ready To Move,Fingal,2 BED,1215,2,0,No,E,Yes,467.0781893
1410,Extended Coverage,20-Oct,Dun Laoghaire,2 BED,900,2,1,Yes,B,Maybe,580.1111111
1411,Extended Coverage,18-Oct,South Dublin,2 BED,1145,2,3,Yes,B,Maybe,578.8995633
1412,Extended Coverage,Ready To Move,Fingal,2 BED,1093,2,2,Yes,A,No,674.9771272
1413,Extended Coverage,17-Nov,South Dublin,3 BED,1213,2,2,Yes,E,Yes,387.2844188
1414,Extended Coverage,Ready To Move,Fingal,3 BED,1654,3,2,Yes,C,Maybe,686.2152358
1415,Extended Coverage,Ready To Move,South Dublin,2 BED,1105,2,1,No,B,Maybe,539.0479638
1416,Extended Coverage,Ready To Move,South Dublin,3 BED,1611,2,2,No,C,Maybe,464.990689
1417,Constructed Space,Ready To Move,Fingal,2 BED,1367,2,2,Yes,G,Yes,514.7768837
1418,Extended Coverage,Ready To Move,DCC,2 BED,1010,2,1,Yes,A,No,573.1188119
1419,Land Parcel,Ready To Move,Fingal,3 Bedroom,750,2,1,No,B,Maybe,1135
1420,Usable Interior,Ready To Move,Fingal,3 BED,1535,3,1,No,A,No,702.4429967
1421,Extended Coverage,Ready To Move,Fingal,2 BED,620,2,1,No,D,Yes,402.7419355
1422,Constructed Space,Ready To Move,Fingal,2 BED,982,2,1,No,F,Yes,550.7403259
1423,Extended Coverage,Ready To Move,South Dublin,2 BED,1700,2,2,No,D,Yes,1001.470588
1424,Extended Coverage,18-Dec,Dun Laoghaire,2 BED,1330,2,1,Yes,B,Maybe,605.9022556
1425,Constructed Space,Ready To Move,DCC,3 Bedroom,2500,3,2,Yes,G,Yes,612.9
1426,Extended Coverage,Ready To Move,South Dublin,3 BED,1475,2,2,No,B,Maybe,453.9227119
1427,Extended Coverage,Ready To Move,DCC,3 BED,1410,3,1,No,D,Yes,523.2269504
1428,Extended Coverage,Ready To Move,Fingal,1 BED,440,1,1,No,D,Yes,425.625
1429,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1614,3,2,No,D,Yes,668.0607187
1430,Extended Coverage,Ready To Move,South Dublin,2 BED,1363,2,2,No,D,Yes,566.2509171
1431,Constructed Space,Ready To Move,South Dublin,2 Bedroom,650,2,0,No,B,Maybe,488.9230769
1432,Extended Coverage,Ready To Move,Fingal,2 BED,1015,2,1,No,G,Yes,503.2019704
1433,Extended Coverage,Ready To Move,South Dublin,2 BED,1156,2,2,Yes,F,Yes,451.6435986
1434,Extended Coverage,19-Mar,Other,2 BED,1100,2,1,No,E,Yes,646.95
1435,Extended Coverage,18-Jan,DCC,3 BED,1455,3,2,No,A,No,358.8316151
1436,Extended Coverage,Ready To Move,Other,2 BED,930,2,1,No,B,Maybe,549.1935484
1437,Constructed Space,Ready To Move,Fingal,3 BED,1650,2,2,No,A,No,550.3030303
1438,Constructed Space,Ready To Move,DCC,2 Bedroom,1200,2,0,No,F,Yes,851.25
1439,Land Parcel,Ready To Move,Fingal,1 Bedroom,700,1,0,No,A,No,2432.142857
1440,Extended Coverage,Ready To Move,South Dublin,4 BED,2900,3,,Yes,E,Yes,528.362069
1441,Extended Coverage,18-Mar,Fingal,3 BED,1890,4,3,No,E,Yes,762.6719577
1442,Extended Coverage,Ready To Move,Fingal,3 BED,2197,4,3,No,C,Maybe,1446.517979
1443,Extended Coverage,Ready To Move,Fingal,3 BED,3522,3,2,No,F,Yes,1224.588302
1444,Extended Coverage,18-Apr,Fingal,3 BED,1240,2,2,Yes,D,Yes,421.0483871
1445,Constructed Space,Ready To Move,South Dublin,2 BED,1440,2,2,No,C,Maybe,772.4305556
1446,Extended Coverage,Ready To Move,South Dublin,1 BED,650,1,2,No,C,Maybe,663.5384615
1447,Extended Coverage,19-Jun,DCC,1 BED,764,1,1,No,A,No,475.3926702
1448,Land Parcel,Ready To Move,South Dublin,5 Bedroom,900,4,0,No,C,Maybe,1135
1449,Extended Coverage,Ready To Move,Fingal,3 BED,1693,3,3,No,A,No,384.7466037
1450,Constructed Space,Ready To Move,DCC,3 BED,1445,3,2,Yes,E,Yes,510.5536332
1451,Extended Coverage,21-Oct,Dun Laoghaire,2 BED,900,1,0,Yes,A,No,567.5
1452,Extended Coverage,Ready To Move,South Dublin,2 BED,1030,2,,Yes,A,No,606.0679612
1453,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1381,2,2,Yes,B,Maybe,431.3164374
1454,Constructed Space,Ready To Move,South Dublin,2 BED,1100,2,1,No,G,Yes,619.0909091
1455,Extended Coverage,Ready To Move,DCC,3 BED,1575,3,2,No,C,Maybe,478.4292063
1456,Land Parcel,Ready To Move,DCC,2 Bedroom,1200,2,1,No,B,Maybe,614.7916667
